(0) Index,(1) INDICATOR (n),"(2) INDICATOR QUALITY (3) (g, y, r)",(3) DATASETS AVAILABLE (Hyperlink),"(4) PBSB CATEGORY (5) ((1, 2, 3, 4, 5))",(5) WB CATEGORY (Theme),"(6) INDICATOR TYPE (2) (SbPb, Ops)",(7) INDICATOR COUNTRY (or region)(n=129 (incl 7 regions) (193),(8) INDICATOR SOURCE,(9) COMMENTS (n),(10) Notes,,,,,,,
21,# of MDAs with functional Integrated Personnel and Payroll Management System ,, Develop an Integrated Personnel and Payroll Management System,5,Public sector governance,,n/a,WB, Structures and Systems, Results Chain: Public Service & Administrative Reform,,,,,,,
22,# of MDAs with restructuring plan,, Develop Restructuring Plan/Policy,5,Public sector governance,,n/a,WB, Structures and Systems, Results Chain: Public Service & Administrative Reform,,,,,,,
23,"# of mobile or circuit courts created, by area",, Creation of mobile or circuit courts,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
24,# of new courtrooms constructed,, Construction of new courtrooms,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
25,# of people trained,, Develop Capacity to manage multi-year budget,5,Public sector governance,,n/a,WB, Budget Credibility, Results Chain: Public Financial Management,,,,,,,
26,# of people who participated in legal education events,, Legal education of general public,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
27,# of poor using judicial services (to be defined),, Improved ability of the poor to use judicial services,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
28,"# of public defenders, paralegals and legal educators hired",, Strengthen Capacity,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
29,# of public hearings/consultations in the annual development planning and budgeting process,,,5,Public sector governance,,n/a,WB; Improved mechanisms for local governance; Results Chain: Decentralization,,,,,,,,,
30,"# of small claims courts, etc. created",, Creation of small claims and other types of courts,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
31,# of staff trained (by level/category).,, Training & Career Development,5,Public sector governance,,n/a,WB, Human Resource Management, Results Chain: Public Service & Administrative Reform,,,,,,,
32,# of staff trained in Mediation/Arbitration,, Train staff in Mediation/Arbitration,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
33,# of the 9 PEFA budget information benchmarks met (PI-6) ,, Improved Budget Presentation,5,Public sector governance,,n/a,WB, Budget Transparency, Results Chain: Public Financial Management,,,,,,,
34,# payroll audits (PI-18),,,5,Public sector governance,,n/a,"WB; Develop debt management planning, procedures and tools;  Efficiency of Use of Public Resources; Results Chain: Public Financial Management",,,,,,,,,
35,# payroll audits (PI-18),, Develop ICT accounting system to monitor expenditure management units,5,Public sector governance,,n/a,WB,  Efficiency of Use of Public Resources, Results Chain: Public Financial Management,,,,,,,
36,# payroll audits (PI-18),, Improved Internal Controls,5,Public sector governance,,n/a,WB,  Efficiency of Use of Public Resources, Results Chain: Public Financial Management,,,,,,,
37,# people reached with awareness-raising events ,, Outreach & awareness-raising,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
38,# people trained,, Capacity building for Tax Collection,5,Public sector governance,,n/a,WB, Revenue Collection, Results Chain: Public Financial Management,,,,,,,
39,# staff providing alternative dispute resolution services,, Development of Alternative Dispute Resolution mechanism,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
40,# strategic alliances established ,, Establish strategic alliances with Bar & Bench (lawyers,3,Rule of law,,n/a,WB, judges, Traditional leaders), etc.), Results Chain: Judicial and Legal Sector Reform,,,,,
41,% (#) of judges trained,, Train judges in areas of inconsistent application of laws,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
42,% (#) of judges who received documents on line or on paper,, Establish program to provide judges with laws,3,Rule of law,,n/a,WB, jurisprudence, outcomes of leading cases, Results Chain: Judicial and Legal Sector Reform,,,,,,
43,% audit report with issues that have been resolved,, Improved Accountability,5,Public sector governance,,n/a,WB,  Improved Accountability, Results Chain: Public Financial Management,,,,,,,
44,% Budget allocations & expenditures reflect PRSP/national development strategy,, Improved Budget Credibility,5,Public sector governance,,n/a,WB, Budget Credibility, Results Chain: Public Financial Management,,,,,,,
45,% contracts above threshold procured through open competition,, Improved Procurement methods,5,Public sector governance,,n/a,WB,  Efficiency of Use of Public Resources, Results Chain: Public Financial Management,,,,,,,
46,% Court proceedings recorded,, Speed and accuracy of oral hearings records production improved,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
47,% deviance between Personnel records and Payroll records in databases.,, Integrated Personnel and Payroll Management System,5,Public sector governance,,n/a,WB, Structures and Systems, Results Chain: Public Service & Administrative Reform,,,,,,,
48,% deviation of the actual total expenditure from budget expenditure ,, Improved Budget Credibility,5,Public sector governance,,n/a,WB, Budget Credibility, Results Chain: Public Financial Management,,,,,,,
49,% increase in tax/GDP ratio,, Improved Revenue Collection Efficiency/Effectiveness,5,Public sector governance,,n/a,WB, Revenue Collection, Results Chain: Public Financial Management,,,,,,,
50,% MDAs performing well against established  performance  indicators/criteria.,, Improved Organizational Efficiency & Performance,5,Public sector governance,,n/a,WB, Results Chain: Public Service & Administrative Reform,,,,,,,,
51,% of allocation from central government that is transferred using transparent and role-based system (PI-8),, Transparent Inter-Governmental and SOE?s Fiscal Relations,5,Public sector governance,,n/a,WB, Budget Transparency, Results Chain: Public Financial Management,,,,,,,
52,% of budget agencies that prepare timely annual financial statements,, Improved Accounting and Reporting,5,Public sector governance,,n/a,WB,  Efficiency of Use of Public Resources, Results Chain: Public Financial Management,,,,,,,
53,% of budget execution of districts and municipalities,, Improved Budget Credibility,5,Public sector governance,,n/a,WB, Budget Credibility, Results Chain: Public Financial Management,,,,,,,
54,% of cases assigned by random mechanism,, Introduce random case assignment system,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
55,% of cases presented for ADR that are satisfactorily resolved,, Development of Alternative Dispute Resolution mechanism,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
56,% of contracting of loans and issuance of guarantees done in conformity with established procedures (PI-17),, Improved Cash and Debt Management,5,Public sector governance,,n/a,WB,  Efficiency of Use of Public Resources, Results Chain: Public Financial Management,,,,,,,
57,% of courtroom staff/judges/higher level managers applying training to on-going work,, Develop Courtroom Management Capacity,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
58,% of institutions audited,, Improved internal and external audit,5,Public sector governance,,n/a,WB,  Improved Accountability, Results Chain: Public Financial Management,,,,,,,
59,% of judges submitting,, Introduce assets declarations by judges,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
60,% of local state institutions with established minimum level of staffing,,,5,Public sector governance,,n/a,WB; Improved decentralization of human and  financial resources; Results Chain: Decentralization,,,,,,,,,
61,% of local state institutions with local development plan,,,5,Public sector governance,,n/a,WB; Improved decentralization of human and  financial resources; Results Chain: Decentralization,,,,,,,,,
62,"% of managerial positions whose span of control is within centrally established norms (e.g., 3-5 direct reports for difficult-to-manage functions,10-15 for routinised functions, etc.)",, Improved Organizational Structures and processes,5,Public sector governance,,n/a,WB, Structures and Systems, Results Chain: Public Service & Administrative Reform,,,,,,,
63,% of MDAs and LGAs with established procurement units,, Improved Procurement methods,5,Public sector governance,,n/a,WB,  Efficiency of Use of Public Resources, Results Chain: Public Financial Management,,,,,,,
64,% of MDAs whose common functions are organized according to centrally established norms,, Improved Organizational Structures and processes,5,Public sector governance,,n/a,WB, Structures and Systems, Results Chain: Public Service & Administrative Reform,,,,,,,
65,% of MDAs whose number of hierarchical layers are within centrally established  norms,, Improved Organizational Structures and processes,5,Public sector governance,,n/a,WB, Structures and Systems, Results Chain: Public Service & Administrative Reform,,,,,,,
66,"% of MDAs with clean audits (ministries, provinces and districts)",, Improved Accountability,5,Public sector governance,,n/a,WB,  Improved Accountability, Results Chain: Public Financial Management,,,,,,,
67,% of monthly Bank reconciliations of  all central government bank accounts that are done timely,, Improved Accounting and Reporting,5,Public sector governance,,n/a,WB,  Efficiency of Use of Public Resources, Results Chain: Public Financial Management,,,,,,,
68,% of new judges hired and of promotions made based on transparent ranking system,, Merit-based,3,Rule of law,,n/a,WB, transparent personnel policies introduced, Results Chain: Judicial and Legal Sector Reform,,,,,,,
69,% of new openings (including for promotions) advertised,, Develop procedures to publicize selections and names of candidates,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
70,"% of personnel records that are ""complete"" (where ""complete"" is well defined)",, Develop an Integrated Personnel and Payroll Management System,5,Public sector governance,,n/a,WB, Structures and Systems, Results Chain: Public Service & Administrative Reform,,,,,,,
71,% of population satisfied with access to basic public services.,,,5,Public sector governance,,n/a,WB; Improved access to public services; Results Chain: Decentralization,,,,,,,,,
72,"% of population with access to basic public services (see sector results chains, e.g. for Health, Education, Water and Sanitation)",,,5,Public sector governance,,n/a,WB; Improved access to public services; Results Chain: Decentralization,,,,,,,,,
73,% of provisional appointments,, Strengthen security of judicial tenure,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
74,% of regional directorate and district which receive their notice of budget allocation on time,,,5,Public sector governance,,n/a,WB; Improved decentralization of human and  financial resources; Results Chain: Decentralization,,,,,,,,,
75,% of restructuring plans targets that are met,, Improved Organizational Structures and processes,5,Public sector governance,,n/a,WB, Structures and Systems, Results Chain: Public Service & Administrative Reform,,,,,,,
76,% of targeted population who says they use or would use the courts,, Expanded Access to Justice,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
77,% of tax appeals for which decisions are promptly acted upon (PI-13),, Improved Tax and Customs Regime Policies,5,Public sector governance,,n/a,WB, Revenue Collection, Results Chain: Public Financial Management,,,,,,,
78,% of total budget spending audited,, Improved internal and external audit,5,Public sector governance,,n/a,WB,  Improved Accountability, Results Chain: Public Financial Management,,,,,,,
79,% of total national revenue transferred to sub-national level,,,5,Public sector governance,,n/a,WB; Improved decentralization of human and  financial resources; Results Chain: Decentralization,,,,,,,,,
80,"% of vacancies filed through advertised, competitive procedures. (AGI)",, Improved  attraction and retention of Needed skills,5,Public sector governance,,n/a,WB, Human Resource Management, Results Chain: Public Service & Administrative Reform,,,,,,,
81,% or number of courts with recording equipment installed and in use,, Develop Court Reporting Capacity,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
82,% personnel at the provincial and district level,,,5,Public sector governance,,n/a,WB; Improved decentralization of human and  financial resources; Results Chain: Decentralization,,,,,,,,,
83,% personnel records and payroll data that are reconciled,, Improved Internal Controls,5,Public sector governance,,n/a,WB,  Efficiency of Use of Public Resources, Results Chain: Public Financial Management,,,,,,,
84,% Summary judgments recorded.,, Speed and accuracy of oral hearings records production improved,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
85,(Informal) groups organized (by gender) (number),, Strengthen financial literacy of stakeholders,4,Financial and private sector development,,n/a,WB, Demand for Microfinance Service, Results Chain: Financial Services,,,,,,,
86,"A cash flow forecast is prepared for the fiscal year, and are updated monthly on the basis of actual cash inflows and outflows (PI-16)",, Improved revenue projection,5,Public sector governance,,n/a,WB, Budget Credibility, Results Chain: Public Financial Management,,,,,,,
87,"A consolidated annual government statement is prepared timely and includes full information on revenue, expenditure and financial assets/liabilities (PI-22 to 25)",, Improved Accounting and Reporting,5,Public sector governance,,n/a,WB,  Efficiency of Use of Public Resources, Results Chain: Public Financial Management,,,,,,,
88,Access to internet services (number of subscribers per 100 people),,,4,"Information, communications and technology (ICT)",,n/a,"WB; CT: Telecommunications; Information, communications and technology (ICT); Core Sector Indicators",,,,,,,,,
89,Access to telephone services (fixed mainlines plus cellular phones per 100 people),,,4,"Information, communications and technology (ICT)",,n/a,"WB; CT: Telecommunications; Information, communications and technology (ICT); Core Sector Indicators",,,,,,,,,
90,Accounting and FM system in place (yes/ no),, Develop management capacity of public transport service providers,4,Transportation,,n/a,WB, Public Transport Development, Results Chain: Urban Transport and Mobility,,,,,,,
91,Accounting and FM system in place (yes/ no),, Develop port management capacity,4,Transportation,,n/a,WB, Institutional Development of Operators/Service Providers, Results Chain: Ports,,,,,,,
92,Accounting system in place (yes/no),, Develop management capacity of WSS Utilities/Service Providers,5,"Water, sanitation and flood protection",,n/a,WB, Institutional development of utilities/service providers, Results Chain: Water Supply,,,,,,,
93,Accounts receivable (days),, Develop management capacity and systems of utilities/operators,4,Energy and mining,,n/a,WB, Institutional Development of Utilities/Operators, Results Chain: Energy Sector,,,,,,,
94,ACSR process reforms identified through studies.,, Develop Institutional Framework and Processes,5,Public sector governance,,n/a,WB, Structures and Systems, Results Chain: Public Service & Administrative Reform,,,,,,,
95,Active female borrowers (% of total number) ,, Improved management of financial institutions,4,Financial and private sector development,,n/a,WB, Outreach, Institutional Strenghthening, Results Chain: Financial Services,,Core Sector Indicators,,,,
96,Active loans / voluntary deposit accounts (number) ,, Improved management of financial institutions,4,Financial and private sector development,,n/a,WB, Outreach, Institutional Strenghthening, Results Chain: Financial Services,,Core Sector Indicators,,,,
97,Actual  wage bill does not exceed budget allocation.,, Integrated Personnel and Payroll Management System,5,Public sector governance,,n/a,WB, Structures and Systems, Results Chain: Public Service & Administrative Reform,,,,,,,
98,Adequate level of Spinning Reserve installed (yes/no),, Increased and more efficient and more reliable electricity generation,4,Energy and mining,,n/a,WB,  Physical Infrastructure, Results Chain: Energy Sector,,,,,,,
99,Adjusted Return on Assets/Equity (%),, Financial sustainability,4,Micro- and small/medium enterprise finance (MSME),,n/a,WB, Micro- and small/medium enterprise finance (MSME), Core Sector Indicators,,,,,,,
100,Adolescent birth rate. [MDG],, Improved coverage of high impact interventions and utilization  of essential services,5,Health and other social services,,n/a,WB, Population, Results Chain: HNP,,,,,,,
101,ADR mechanisms established. ,, Expanded Access to Justice,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
102,Adults and children with HIV known to be on treatment 12 months after initiation of antiretroviral therapy (%).,, Impropved health outcomes,5,Health and other social services,,n/a,WB, HIV/AIDS and TB, Results Chain: HNP,,,,,,,
103,Adults and children with HIV receiving antiretroviral combination therapy (number). [IDA-15] ,, Improved coverage of high impact interventions and utilization  of essential services,5,Health and other social services,,n/a,WB, HIV/AIDS, Results Chain: HNP,,,,,,,
104,Advising and coaching service for training and income generating activities in place (yes/ no),, Life skills training for Ex-combatants,2,Security,,n/a,WB, Results Chain: DDR - Demobilization and Reintegration,,,,,,,,
105,Affected households satisfied with adequacy of aid received during recovery phases (%),, Improved effectiveness of public disaster response,5,Social protection and risk management,,n/a,WB, Results Chain: Disaster Risk and Climate Change Management,,,,,,,,
106,Affected households satisfied with timeliness of aid received during recovery phases (%),, Improved effectiveness of public disaster response,5,Social protection and risk management,,n/a,WB, Results Chain: Disaster Risk and Climate Change Management,,,,,,,,
107,Aggregate statistics produced and analyzed by higher level management,, Develop system for generating management statistics at courtroom and court system level,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
108,All basic port infrastructure in place and functioning (yes/ no),, Improved port infrastructure,4,Transportation,,n/a,WB, Physical Infrastructure, Results Chain: Ports,,,,,,,
109,All season connection between urban point A and B established (yes/ no)   ,, Improved urban access,4,Transportation,,n/a,WB, Urban Transport and Traffic System Development, Results Chain: Urban Transport and Mobility,,,,,,,
110,Allocation formula developed,, Develop allocation mechanisms between Government and MDAs,5,Public sector governance,,n/a,WB, Budget Transparency, Results Chain: Public Financial Management,,,,,,,
111,Amount of cash-transfer per beneficiary ($$),, Increased access to insurance/safety nets,5,Social protection and risk management,,n/a,WB, Results Chain: Disaster Risk and Climate Change Management,,,,,,,,
112,Amount of payment arrears,, Reduced stock of arrears,5,Public sector governance,,n/a,WB, Budget Credibility, Results Chain: Public Financial Management,,,,,,,
113,Amount of total safety net program transfers ($$),, Increased scope of disaster insurance/ safety net program,5,Social protection and risk management,,n/a,WB, Results Chain: Disaster Risk and Climate Change Management,,,,,,,,
114,Annual benchmarking reports produced over regulated infrastructures (yes/ no),,  Improved regulation/ control of port management,4,Transportation,,n/a,WB, Port Sector Managements, Results Chain: Ports,,,,,,,
115,Annual benchmarking reports produced over regulated utilities (number),, Effective sector regulation,5,"Water, sanitation and flood protection",,n/a,WB, Regulatory framework, Results Chain: Water Supply,,,,,,,
116,Annual customer complaints (number per 1000 electricity connections),, Improved customer service orientation of utilities/operators,4,Energy and mining,,n/a,WB, Institutional Development of Utilities/Operators, Results Chain: Energy Sector,,,,,,,
117,Annual customer complaints (per 1000 water and wastewater connections per month),, Improved customer services orientation of Water Supply and Sanitation Utilities/Service Providers,5,"Water, sanitation and flood protection",,n/a,WB, Institutional development of utilities/service providers, Results Chain: Water Supply,,,,,,,
118,"Annual financial statements produced, audited and disseminated (yes/ no)",, Improved management of public  transportation,4,Transportation,,n/a,WB, Financial, Public Transport Development, Results Chain: Urban Transport and Mobility,,,,,,
119,"Annual financial statements produced, audited and disseminated (yes/ no)",, Improved operational and financial management of port,4,Transportation,,n/a,WB, Financial, Institutional Development of Operators/Service Providers, Results Chain: Ports,,,,,,
120,Annual increase in tax revenues,, Improved Revenue Collection Efficiency/Effectiveness,5,Public sector governance,,n/a,WB, Revenue Collection, Results Chain: Public Financial Management,,,,,,,
121,Annual internal audit executed in a timely fashion,, Improved internal and external audit,5,Public sector governance,,n/a,WB,  Improved Accountability, Results Chain: Public Financial Management,,,,,,,
122,Annual joint review and planning conducted.,, Developing Institutional Capacity,5,Health and other social services,,n/a,WB, Accountability and Institutional Capacity, Results Chain: HNP,,,,,,,
123,Annual Loan-loss Rate - Microfinance (%),, Portfolio quality,4,Micro- and small/medium enterprise finance (MSME),,n/a,WB, Micro- and small/medium enterprise finance (MSME), Core Sector Indicators,,,,,,,
124,"Annual number of graduates of health educational institutions by level and occupation  (per 100,000). [WHO]",, Training and Retraining Health Workers,5,Health and other social services,,n/a,WB, Human Resources, Results Chain: HNP,,,,,,,
125,Annual passengers carried per employee (number) ,, Improved management of public  transportation,4,Transportation,,n/a,WB, Operational, Public Transport Development, Results Chain: Urban Transport and Mobility,,,,,,
126,Annual Sector Plan targets achieved (%),,,4,Energy and mining,,n/a,"WB; Improved laws, policies and planning; Institutional Development of sector ministries; Results Chain: Energy Sector",,,,,,,,,
127,Annual Sector Plan targets achieved (yes/ no),, Improved planning and management of urban transport systems,4,Transportation,,n/a,WB, Urban Transport Management, Results Chain: Urban Transport and Mobility,,,,,,,
128,Annual Sector plan targets achieved (yes/no),, Improved policies and planning,5,"Water, sanitation and flood protection",,n/a,WB, Institutional development of sector ministries, Results Chain: Water Supply,,,,,,,
129,Annual unit cost per student (LCU),, Improved Efficiciency,5,Education,,n/a,WB, Improved Efficiciency, Results Chain: Secondary Education Sector,,,,,,,
130,Annual wage of doctors  relative to GDP  (US$. LCU).,, Improved Availability of Skilled Human Resources,5,Health and other social services,,n/a,WB, Human Resources, Results Chain: HNP,,,,,,,
131,Annual work plans and budget prepared (yes/no),, Develop management capacity of financial institutions,4,Financial and private sector development,,n/a,WB, Institutional Strenghthening, Results Chain: Financial Services,,,,,,,
132,Antibiotic prescription(s) as a share of all prescriptions (%).,, Improved Quality and Efficiency,5,Health and other social services,,n/a,WB, Accountability and Institutional Capacity, Results Chain: HNP,,,,,,,
133,Apex Bank for Rural/ Village Banks established (number),, Improved sector institutional framework,4,Financial and private sector development,,n/a,WB, Institutional Strenghthening, Results Chain: Financial Services,,,,,,,
134,Area provided with irrigation and drainage services (ha),, Irrigation and drainage,4,Irrigation and drainage,,n/a,WB, Core Sector Indicators,,,,,,,,
135,Area restored or re/afforested (ha),, Forestry,4,Forestry,,n/a,WB, Core Sector Indicators,,,,,,,,
136,Areas brought under enhanced biodiversity protection (ha),, Biodiversity,4,Biodiversity,,n/a,WB, Core Sector Indicators,,,,,,,,
137,ART treatment sites established (number),, Improved Availability of Infrastructure,5,Health and other social services,,n/a,WB, Infrastructure, Results Chain: HNP,,,,,,,
138,ARV quality control system in place.,, Improved Management and Institutional Capacity,5,Health and other social services,,n/a,WB, Accountability and Institutional Capacity, Results Chain: HNP,,,,,,,
139,"ARVs procured (US$, LCU).",,,5,Health and other social services,,n/a,"WB; Procuring Drugs, Consumables, and Supplies; Pharmaceuticals; Results Chain: HNP",,,,,,,,,
140,Assessment of available health services for disabled developed (yes/ no),, Medical treatment for ill or disabled people associated with armed forces,2,Security,,n/a,WB, Results Chain: DDR - Demobilization and Reintegration,,,,,,,,
141,Assisted deliveries per midwife (number).,, Improved Quality and Efficiency,5,Health and other social services,,n/a,WB, Accountability and Institutional Capacity, Results Chain: HNP,,,,,,,
142,Availability factor (%),, Increased and more efficient and more reliable electricity generation,4,Energy and mining,,n/a,WB,  Physical Infrastructure, Results Chain: Energy Sector,,,,,,,
143,"Average 3-year retention rate of recent recruits (e.g., within the most recent 3 years) (AGI)",, Improved  attraction and retention of Needed skills,5,Public sector governance,,n/a,WB, Human Resource Management, Results Chain: Public Service & Administrative Reform,,,,,,,
144,Average absenteeism rates by MDA (AGI),, Performance-focused CS Management,5,Public sector governance,,n/a,WB, Human Resource Management, Results Chain: Public Service & Administrative Reform,,,,,,,
145,Average age of buses (years),, Improved management of public  transportation,4,Transportation,,n/a,WB, Operational, Public Transport Development, Results Chain: Urban Transport and Mobility,,,,,,
146,Average cargo dwell time (days),, Increased port capacity and efficiency,4,Transportation,,n/a,WB, Efficiency, Results Chain: Ports,,,,,,,
147,Average cost of demobilized armed force member (USD),, Demobilized armed forced groups,2,Security,,n/a,WB, Results Chain: DDR - Demobilization and Reintegration,,,,,,,,
148,Average CS total remuneration as a % of average economic sector wages (AGI),, Improved sustainability of Wage Bill,5,Public sector governance,,n/a,WB, Human Resource Management, Results Chain: Public Service & Administrative Reform,,,,,,,
149,Average distance to nearest court facility,, Improved Physical Access to Courts,3,Rule of law,,n/a,WB, Results Chain: Judicial and Legal Sector Reform,,,,,,,,
150,Average duration between customer complaint and the solution of the problem (days),, Improved customer service orientation of utilities/operators,4,Energy and mining,,n/a,WB, Institutional Development of Utilities/Operators, Results Chain: Energy Sector,,,,,,,
151,Average duration between customer complaint and the solution of the problem (days),, Improved customer services orientation of Water Supply and Sanitation Utilities/Service Providers,5,"Water, sanitation and flood protection",,n/a,WB, Institutional development of utilities/service providers, Results Chain: Water Supply,,,,,,,
152,Average duration of interruptions per subscriber (hours/year),, Improved access to quality electricity services,4,Energy and mining,,n/a,WB,  Physical Infrastructure, Results Chain: Energy Sector,,,,,,,
153,Average hours of water supply service per day in utilities targeted by the project (number) ,,,5,"Water, sanitation and flood protection",,n/a,"WB; Quality of service; Improved access to sustainable, quality water services; Results Chain: Water Supply",Core Sector Indicator Africa,,,,,,,,
154,Average interruption frequency per year in the project area (#),, Transmission and distribution of electricity,4,Transmission and distribution of electricity,,n/a,WB, Core Sector Indicators,,,,,,,,
155,Average interruptions frequency per year in the project area (Number) Supplemental information: Total number of customers served in the project area,, Improved access to quality electricity services,4,Energy and mining,,n/a,WB,  Physical Infrastructure, Results Chain: Energy Sector,,,,,,,
156,Average length of stay (number of days).,, Improved Quality and Efficiency,5,Health and other social services,,n/a,WB, Accountability and Institutional Capacity, Results Chain: HNP,,,,,,,
157,"Average number of days to complete the recordation of a purchase/sale of a property in the land
administration system",, Land administration and management,5,Land administration and management,,n/a,WB, Core Sector Indicators,,,,,,,,
158,Average number of qualified (long-listed) candidates per advertised CS opening (AGI).,, Improved  attraction and retention of Needed skills,5,Public sector governance,,n/a,WB, Human Resource Management, Results Chain: Public Service & Administrative Reform,,,,,,,
159,Average per capita consumption of water of residential households  (liters),, Increased water consumption for livelihood and productive purposes,5,"Water, sanitation and flood protection",,n/a,WB, Results Chain: Water Supply,,,,,,,,
160,Average processing time for public services (hours),,,5,"Information, communications and technology (ICT)",,n/a,"WB; BM: Public administration, information and communications; Information, communications and technology (ICT); Core Sector Indicators",,,,,,,,,
161,Average quarterly  transfer rates tracked against changes in political leadership (AGI),, Meritocratic CS Management,5,Public sector governance,,n/a,WB, Human Resource Management, Results Chain: Public Service & Administrative Reform,,,,,,,
